Book Name,Author Name,Publisher Name,List Price,Selling Price,Binding,Release Date,Language

Throwback: The Chaos Loop,Peter Lerangis,HarperCollins,Rs.616,Rs.456,Paperback,09 Mar 2021,English

Flesh and Blood,Patricia Cornwell,HarperCollins,Rs.770,Rs.547,Paperback,09 Mar 2021,English

The Windsor Knot,SJ Bennett,HarperCollins,"Rs.2,156","Rs.1,358",Hardback,09 Mar 2021,English

"ACT Your Age, Eve Brown",Talia Hibbert,HarperCollins,"Rs.1,232",Rs.813,Paperback,09 Mar 2021,English

The Rose Code,Kate Quinn,HarperCollins,"Rs.1,386",Rs.929,Paperback,09 Mar 2021,English

The Fourth Child,Jessica Winter,HarperCollins,"Rs.2,079","Rs.1,310",Hardback,09 Mar 2021,English

The Copycat,Wendy McLeod Macknight,HarperCollins,Rs.616,Rs.468,Paperback,09 Mar 2021,English

"Tbh #6: Tbh, You Know What I Mean",Lisa Greenwald,HarperCollins,Rs.770,Rs.524,Paperback,09 Mar 2021,English

The Alcazar,Amy Ewing,HarperCollins,Rs.847,Rs.593,Paperback,09 Mar 2021,English

The Bone Maker,Sarah Beth Durst,HarperCollins,"Rs.1,386",Rs.901,Paperback,09 Mar 2021,English

Never Have I Ever,Joshilyn Jackson,HarperCollins,Rs.770,Rs.531,Paperback,09 Mar 2021,English

My Shanghai,Betty Liu,Harper Design,"Rs.2,695","Rs.1,940",Hardback,09 Mar 2021,English

How to Be Fine,Kristen Meinzer,HarperCollins,"Rs.1,232",Rs.788,Paperback,09 Mar 2021,English

The Heiress Hunt,Joanna Shupe,HarperCollins,Rs.616,Rs.444,Paperback,09 Mar 2021,English

Not a Diet Book: Take Control. Gain Confidence. Change Your Life.,James Smith,HarperCollins Publishers,Not mentioned,Rs.723,Paperback,09 Mar 2021,English

The Rose Code,Kate Quinn,HarperCollins,"Rs.1,694","Rs.1,423",Paperback,09 Mar 2021,English

A Constellation of Roses,Miranda Asebedo,HarperCollins,Rs.847,Rs.652,Paperback,09 Mar 2021,English

Waste Biorefinery,Thallada Bhaskar,Elsevier Science,Not mentioned,"Rs.20,612",Paperback,05 Mar 2021,English

Greystone Secrets #2: The Deceivers,Margaret Peterson Haddix,HarperCollins,Rs.693,Rs.506,Paperback,09 Mar 2021,English

Sisters of War,Lana Kortchik,HQ Digital,Not mentioned,Rs.670,Paperback,04 Mar 2021,English

Band of Sisters,Lauren Willig,HarperCollins,"Rs.2,310","Rs.1,825",Paperback,02 Mar 2021,English

"The Alkaloids, 85",Hans-Joachim Knolker,Elsevier Science,Not mentioned,"Rs.19,566",Hardback,02 Mar 2021,English

The Uncommon Cold,Aleksei Bitskoff,HarperCollins,Rs.462,Rs.360,Paperback,02 Mar 2021,English

Bring Back Our Girls,Joe Parkinson,HarperCollins,"Rs.2,233","Rs.1,496",Hardback,02 Mar 2021,English

Liftoff,Eric Berger,HarperCollins,"Rs.2,156","Rs.1,358",Hardback,02 Mar 2021,English

Kitty and the Great Lantern Race,Paula Harrison,HarperCollins,Rs.462,Rs.383,Paperback,02 Mar 2021,English

Simply Christian,N T Wright,HarperCollins,"Rs.1,386",Rs.998,Paperback,02 Mar 2021,English

Lola on Fire,Rio Youers,HarperCollins,"Rs.2,310","Rs.1,779",Paperback,02 Mar 2021,English

FGTeeV Presents: Into the Game!,Fgteev,HarperCollins,Rs.924,Rs.795,Paperback,02 Mar 2021,English

Foregone,Russell Banks,HarperCollins,"Rs.2,233","Rs.1,407",Hardback,02 Mar 2021,English

She,Helen Warner,HQ,Rs.399,Rs.271,Paperback,02 Mar 2021,English

Endling: The Only,Katherine Applegate ,HarperCollins,"Rs.1,386",Rs.915,Hardback,02 Mar 2021,English

Think And Grow Rich,Not mentioned,Amazing Reads,Rs.150,Rs.90,Paperback,2014,Not mentioned

Inner Engineering: A Yogi�s Guide to Joy,Not mentioned,Penguin Random House India Pvt. Ltd.,Rs.299,Rs.179,Paperback,12 Dec 2016,English

Sapiens,Yuval Noah Harari,Vintage Publishing,Rs.599,Rs.413,Paperback,30 Apr 2015,English

Objective General English,S. P. Bakshi,Arihant,Rs.285,Rs.171,Paperback,"Dec,2014",English

The Secret of the Nagas,Amish Tripathi ,Westland Publication Limited,Rs.499,Rs.349,Paperback,23 May 2011,English

The Immortals of Meluha,Amish Tripathi ,Westland Publication Limited,Rs.499,Rs.349,Paperback,14 May 2010,English

A Brief History Of Modern India,Rajiv Ahir,Spectrum Books Pvt,Rs.325,Rs.215,Paperback,2016-01,English

Star Wars: Darth Vader: Dark Lord of the Sith Vol. 1,Jim Cheung,Marvel Comics,"Rs.1,389","Rs.1,097",Paperback,05 Dec 2017,English

Reflections Of A Man,Amari Soul,"Black Castle Media Group, LLC.",Not mentioned,"Rs.1,117",Paperback,16 Feb 2015,English

The Power Of Your Subconscious Mind,Murphy Joseph Dr,Amazing Reads,Rs.225,Rs.135,Paperback,2015,Not mentioned

This is Not Your Story,Savi Sharma,Westland Publications Limited,Rs.175,Rs.105,Paperback,14 Feb 2017,English

